year,Nominal_GDP,inflation,Multiplier,Cumulative_Inflation_Index,Normalized_GDP
2012,40243,2.06933726526067,1.0206933726526066,1.0206933726526066,39427
2013,40179,1.46483265562717,1.0146483265562718,1.0356448224890444,38796
2014,41588,1.62222297740817,1.0162222297740817,1.0524452907637998,39516
2015,51375,0.118627135552451,1.0011862713555244,1.0536937764654895,48757
2016,52575,1.26158320570536,1.0126158320570535,1.0669870001889405,49274
2017,53390,2.13011000365961,1.0213011000365961,1.0897149970177127,48994
2018,53462,2.44258329692817,1.0244258329692817,1.1163321935189887,47891
2019,58558,1.81221007526021,1.018122100752602,1.136562478003313,51522
2020,56531,1.23358439630629,1.012335843963063,1.150582935386234,49132
2021,60299,4.69785886363742,1.0469785886363743,1.2046356977997759,50056
2022,73964,8.00279982052121,1.0800279982052121,1.3010402812612307,56850
